date,carbune,consum,hidro,hidrocarburi,nuclear,eolian,productie,fotovolt,biomasa,sold
2025-01-01 21:08:35,744,5977,1203,1618,1386,1682,6671,-3,40,-694
2025-01-01 15:38:22,709,4977,870,1569,1387,958,5692,156,36,-714
2025-01-01 10:08:32,680,4610,896,1561,1387,1120,6014,329,38,-1404
2025-01-01 04:46:22,705,5100,846,1449,1384,959,5381,-3,38,-281
2024-12-31 23:00:30,739,6201,1113,1489,1385,589,5351,-2,37,849
2024-12-31 17:30:28,778,7664,1210,1634,1377,596,5652,-1,40,2012
2024-12-31 10:55:23,748,6687,1234,1414,1367,212,5275,256,40,1411
2024-12-31 05:08:35,750,5197,997,1417,1389,55,4645,-3,39,552
2024-12-30 23:38:08,761,6099,1105,1495,1372,29,4800,-3,39,1299
2024-12-30 16:49:32,761,7485,1530,1607,1356,-10,5293,0,41,2192
2024-12-30 11:12:35,761,7076,1176,1567,1347,7,5174,265,41,1902
2024-12-30 04:59:27,723,5199,1007,1446,1385,8,4607,-2,37,592
2024-12-29 23:38:22,655,5834,1136,1432,1383,-8,4634,-3,39,1199
2024-12-29 17:59:41,788,7020,1269,1653,1386,-16,5139,-2,40,1880
2024-12-29 11:47:23,743,6197,1246,1396,1383,-23,4907,121,40,1289
2024-12-29 06:17:17,746,5291,1078,1303,1381,187,4736,-3,41,555
2024-12-29 00:55:27,744,5417,1092,1401,1378,406,5060,-3,39,356
2024-12-28 18:56:17,767,7496,1455,1012,1369,579,5228,-2,41,2267
2024-12-28 13:17:22,750,6821,1359,750,1368,933,5408,204,40,1413
2024-12-28 07:29:38,747,5870,1187,722,1385,831,4917,-3,39,953
2024-12-28 01:30:34,717,5367,1049,1040,1384,1216,5442,-3,37,-75
2024-12-27 17:17:12,707,7093,1228,1553,1349,1425,6317,-2,34,776
2024-12-27 11:47:10,716,6536,1343,1512,1376,1103,6205,119,32,330
2024-12-27 06:25:30,735,5338,949,1451,1380,1375,5921,-3,31,-582
2024-12-27 00:55:05,743,5237,1322,1552,1379,1651,6677,-3,31,-1440
2024-12-26 19:25:26,760,6426,1453,1474,1381,2456,7558,-2,30,-1132
2024-12-26 13:55:19,637,5390,1058,1452,1381,2600,7435,271,31,-2044
2024-12-26 08:26:21,630,5399,1437,1457,1382,2583,7522,0,30,-2123
2024-12-26 03:00:37,643,4823,920,1519,1382,2644,7138,-3,30,-2315
2024-12-25 21:38:08,645,5881,1234,1519,1380,2693,7502,-3,30,-1620
2024-12-25 16:17:39,640,5584,1049,1505,1381,2662,7277,6,31,-1693
2024-12-25 10:55:27,638,5421,1113,1505,1382,2690,7475,113,31,-2053
2024-12-25 05:25:17,602,4878,840,1488,1379,2678,7041,-1,31,-2162
2024-12-24 23:59:05,646,5621,1014,1516,1380,2531,7123,-3,36,-1502
2024-12-24 17:55:34,648,7497,1221,1607,1377,2207,7121,-2,38,375
2024-12-24 12:30:08,627,7257,1305,1581,1366,2166,7145,61,36,111
2024-12-24 06:38:10,648,5837,1005,1511,1381,2189,6769,-3,36,-931
2024-12-24 01:16:21,656,5701,1094,1574,1371,1702,6434,-3,42,-733
2024-12-23 19:47:20,663,7940,1374,1640,1362,1815,6926,-2,46,1014
2024-12-23 13:38:35,672,7107,1402,1654,1325,558,6013,354,45,1093
2024-12-23 06:38:21,597,6114,1079,1533,1386,175,4810,-3,40,1304
2024-12-23 01:17:20,710,5605,803,1646,1383,291,4867,-3,35,738
2024-12-22 18:48:17,637,7349,1418,1712,1383,382,5590,-2,42,1758
2024-12-22 12:56:28,754,5986,1072,1537,1382,392,5593,403,38,392
2024-12-22 07:16:36,745,5905,1036,1588,1384,1436,6233,-2,39,-327
2024-12-22 01:25:58,680,5716,923,1540,1382,2464,7026,-2,37,-1309
2024-12-21 19:30:27,749,7781,1261,1677,1380,2553,7674,-2,40,106
2024-12-21 13:47:34,754,7219,891,1643,1377,2450,7268,109,41,-48
2024-12-21 07:47:19,720,6339,799,1458,1377,2156,6551,-1,42,-211
2024-12-21 01:08:11,732,5838,840,1462,1376,955,5406,-2,41,432
2024-12-20 19:47:05,932,7946,1475,1699,1371,275,5823,-1,46,2123
2024-12-20 12:17:31,756,7331,1264,1677,1352,164,5645,390,39,1686
2024-12-20 05:46:03,804,6115,806,1749,1386,812,5599,-3,42,515
2024-12-20 00:17:19,804,6369,1061,1812,1378,705,5806,-3,40,562
2024-12-19 18:54:08,880,8262,1481,1728,1361,514,6025,-1,39,2236
2024-12-19 11:47:19,753,7019,1171,1658,1330,144,5705,604,41,1313
2024-12-19 05:30:19,756,6141,1167,1712,1381,392,5463,-3,43,678
2024-12-19 00:08:41,809,6251,1231,1814,1370,52,5331,-3,42,920
2024-12-18 18:47:16,818,8296,1505,1725,1363,132,5602,-2,46,2693
2024-12-18 13:18:33,792,7126,1108,1637,1350,148,5589,502,48,1537
2024-12-18 06:59:31,802,7132,1350,1801,1381,523,5901,-2,44,1231
2024-12-18 01:25:55,754,5932,1156,1663,1376,944,5958,-2,47,-25
